Date,Piligrims,Tonsures,Hundi,Special Day,Tirupati,Tirumala,VIP darshan,tirumala darshan,srinivasam complex,tirumala darshan tickets,tirupati balaji.ap.gov.in,Special Day Weighted,Piligrims_7Day_Avg,Festival Intensity
25-04-2022,65763,33758.0,4.29,0,57,30,10,17,0,22,6,1.0,67319.28571428571,0.0
26-04-2022,67681,31738.0,4.54,0,54,32,14,17,44,8,22,1.0,67294.0,0.0
27-04-2022,75078,34674.0,4.34,0,51,28,14,15,28,17,9,1.0,68484.42857142857,0.0
28-04-2022,64380,31204.0,4.75,0,54,28,13,13,32,11,6,1.0,68927.57142857143,0.0
29-04-2022,65725,30346.0,4.54,0,56,28,25,18,29,21,0,1.0,69304.85714285714,0.0
30-04-2022,75010,31116.0,3.59,0,60,36,37,15,0,6,5,1.0,69867.85714285714,0.0
01-05-2022,72904,30702.0,4.7,1,57,31,15,13,0,15,8,1.0336141322534529,69505.85714285714,69505.85714285714
02-05-2022,65756,34774.0,4.6,0,54,25,22,14,0,36,7,1.0,69504.85714285714,0.0
03-05-2022,61654,25920.0,4.3,1,53,27,7,16,20,16,10,1.0336141322534529,68643.85714285714,68643.85714285714
04-05-2022,69603,30434.0,3.84,0,49,25,13,12,0,6,0,1.0,67861.71428571429,0.0
05-05-2022,59528,29995.0,3.91,1,50,23,14,8,0,0,5,1.0336141322534529,67168.57142857143,67168.57142857143
06-05-2022,63265,31217.0,3.5,1,51,24,9,10,0,0,9,1.0336141322534529,66817.14285714286,66817.14285714286
07-05-2022,76324,38710.0,4.73,0,60,29,33,12,0,12,0,1.0,67004.85714285714,0.0
08-05-2022,75876,32164.0,4.64,0,49,27,11,15,0,0,0,1.0,67429.42857142857,0.0
09-05-2022,69154,29617.0,4.27,0,54,25,20,13,21,0,4,1.0,67914.85714285714,0.0
10-05-2022,61090,26316.0,4.52,1,49,27,0,12,0,9,0,1.0336141322534529,67834.28571428571,67834.28571428571
11-05-2022,61863,30135.0,3.72,1,51,25,12,11,0,18,0,1.0336141322534529,66728.57142857143,66728.57142857143
12-05-2022,61087,30271.0,3.39,1,48,23,33,11,0,0,15,1.0336141322534529,66951.28571428571,66951.28571428571
13-05-2022,62001,32303.0,4.03,1,50,27,31,12,0,13,0,1.0336141322534529,66770.71428571429,66770.71428571429
14-05-2022,81107,43531.0,3.21,1,55,25,38,14,0,7,0,1.0336141322534529,67454.0,67454.0
15-05-2022,81720,34266.0,3.19,1,55,27,12,16,16,12,0,1.0336141322534529,68288.85714285714,68288.85714285714
16-05-2022,72567,34718.0,3.21,1,55,28,35,3,0,7,0,1.0336141322534529,68776.42857142857,68776.42857142857
17-05-2022,75400,32223.0,4.02,1,53,25,9,9,13,0,5,1.0336141322534529,70820.71428571429,70820.71428571429
18-05-2022,74389,38007.0,4.35,1,53,29,17,15,16,9,0,1.0336141322534529,72610.14285714286,72610.14285714286
19-05-2022,67625,34584.0,4.05,1,54,26,12,10,0,0,0,1.0336141322534529,73544.14285714286,73544.14285714286
20-05-2022,71119,37256.0,3.91,1,61,32,26,18,0,0,12,1.0336141322534529,74846.71428571429,74846.71428571429
21-05-2022,83739,46187.0,4.2,1,77,52,0,34,0,39,30,1.0336141322534529,75222.71428571429,75222.71428571429
22-05-2022,70848,29957.0,4.65,0,64,32,0,26,0,12,0,1.0,73669.57142857143,0.0
23-05-2022,75324,35086.0,5.03,1,58,34,17,18,34,10,6,1.0336141322534529,74063.42857142857,74063.42857142857
24-05-2022,75759,31050.0,4.41,1,60,38,11,16,15,21,15,1.0336141322534529,74114.71428571429,74114.71428571429
25-05-2022,75759,39208.0,5.43,1,52,34,15,20,0,18,7,1.0336141322534529,74310.42857142857,74310.42857142857
26-05-2022,72758,40504.0,4.83,1,64,38,0,22,13,13,12,1.0336141322534529,75043.71428571429,75043.71428571429
27-05-2022,73358,41900.0,4.11,1,63,32,29,19,0,0,0,1.0336141322534529,75363.57142857143,75363.57142857143
28-05-2022,89318,48539.0,3.76,1,67,37,36,24,0,17,6,1.0336141322534529,76160.57142857143,76160.57142857143
29-05-2022,90885,35707.0,4.18,1,59,34,32,23,13,38,11,1.0336141322534529,79023.0,79023.0
30-05-2022,74823,31159.0,4.51,1,63,38,41,16,34,15,27,1.0336141322534529,78951.42857142857,78951.42857142857
31-05-2022,69848,28716.0,4.34,1,59,34,8,17,0,28,13,1.0336141322534529,78107.0,78107.0
01-06-2022,71914,37234.0,4.39,0,52,29,14,18,13,17,11,1.0,77557.71428571429,0.0
02-06-2022,66001,38831.0,4.01,0,54,29,40,9,0,6,0,1.0,76592.42857142857,0.0
03-06-2022,71196,36936.0,3.45,0,57,28,28,13,0,14,8,1.0,76283.57142857143,0.0
04-06-2022,90165,43362.0,4.18,0,65,32,20,14,37,0,9,1.0,76404.57142857143,0.0
05-06-2022,78188,35427.0,3.94,1,64,31,15,14,0,11,0,1.0336141322534529,74590.71428571429,74590.71428571429
06-06-2022,76921,39568.0,4.4,1,55,28,16,10,0,24,0,1.0336141322534529,74890.42857142857,74890.42857142857
07-06-2022,76425,36053.0,4.15,1,56,27,31,12,27,8,0,1.0336141322534529,75830.0,75830.0
08-06-2022,75345,36091.0,4.52,1,52,27,36,14,0,9,5,1.0336141322534529,76320.14285714286,76320.14285714286
09-06-2022,70019,36124.0,3.52,1,52,25,12,16,0,14,0,1.0336141322534529,76894.14285714286,76894.14285714286
10-06-2022,67949,39837.0,3.7,1,61,29,16,10,43,10,7,1.0336141322534529,76430.28571428571,76430.28571428571
