,Date,Piligrims,Tonsures,Hundi,Special Day
521,06-06-2023,78030,35860.0,3.93,"Narayanavanam Sri Kalyana Venkateswaraswamivari Brahmotsavams, Appalayagunta Sri Prasanna Venkateswaraswamivari Brahmotsavams"
522,07-06-2023,75229,35618.0,3.24,"Narayanavanam Sri Kalyana Venkateswaraswamivari Brahmotsavams, Appalayagunta Sri Prasanna Venkateswaraswamivari Brahmotsavams"
523,08-06-2023,70160,38076.0,3.67,"Narayanavanam Sri Kalyana Venkateswaraswamivari Brahmotsavams, Appalayagunta Sri Prasanna Venkateswaraswamivari Brahmotsavams"
524,09-06-2023,74502,38052.0,3.73,normal
525,10-06-2023,88626,51379.0,3.29,normal
526,11-06-2023,92238,40400.0,4.02,normal
527,12-06-2023,79087,35640.0,4.41,normal
528,13-06-2023,75227,33706.0,3.85,normal
529,14-06-2023,78487,38213.0,3.76,normal
530,15-06-2023,70896,37546.0,4.07,normal
531,16-06-2023,72299,36378.0,3.92,normal
532,17-06-2023,87762,43753.0,3.61,Savitri Vratham
533,18-06-2023,86181,30654.0,4.59, Amavasya
534,19-06-2023,69879,29519.0,3.82,normal
535,20-06-2023,71935,31831.0,4.11, Poori Jagannada Radhayathra
536,21-06-2023,77120,34463.0,3.39,normal
537,22-06-2023,67294,33529.0,4.09,normal
538,23-06-2023,72304,32504.0,3.8,normal
539,24-06-2023,83889,40495.0,3.1,Srinivasamangapuram Sri Kalyana Venkateswaraswamivari Sakshatkara vaibhavam
540,25-06-2023,87407,31713.0,4.47,Srinivasamangapuram Sri Kalyana Venkateswaraswamivari Sakshatkara vaibhavam
541,26-06-2023,73156,28175.0,4.29,Srinivasamangapuram Sri Kalyana Venkateswaraswamivari Sakshatkara vaibhavam
542,27-06-2023,69143,26145.0,4.38,normal
543,28-06-2023,71615,30219.0,3.68,Bakrid
544,29-06-2023,62005,34127.0,3.75,Tholi Ekadasi
545,30-06-2023,73572,29448.0,3.73,normal
546,01-07-2023,82999,38875.0,4.27,normal
547,02-07-2023,87967,32083.0,4.2,normal
548,02-07-2023,66077,29193.0,4.3,Guru purnima
549,04-07-2023,76254,28091.0,4.9,normal
550,05-07-2023,77299,30479.0,3.93,Tirupati Sri Vikhanasacharyulavari Sathumora
551,06-07-2023,66977,33020.0,4.39,normal
552,07-07-2023,69483,32459.0,3.58,Tiruchanur Sri Sundarajaswamivari Avatarotsavams
553,08-07-2023,86781,44920.0,3.47,Tiruchanur Sri Sundarajaswamivari Avatarotsavams
554,09-07-2023,88836,35231.0,4.69,Tiruchanur Sri Sundarajaswamivari Avatarotsavams
555,10-07-2023,64347,28358.0,5.11,normal
556,11-07-2023,67271,28652.0,4.09,normal
557,12-07-2023,72664,32336.0,3.49,normal
558,13-07-2023,67300,32802.0,3.83,normal
559,14-07-2023,71472,31980.0,3.77,normal
560,15-07-2023,87171,38273.0,3.68,normal
561,16-07-2023,86170,31128.0,4.13,normal
562,17-07-2023,71894,25208.0,5.4,"Tirumala Srivari Anivara Asthanam ,  Amavasya"
563,18-07-2023,64003,24659.0,3.06,normal
564,19-07-2023,74024,32688.0,3.96,normal
565,20-07-2023,63628,33548.0,4.26,normal
566,21-07-2023,71721,32078.0,3.88,normal
567,22-07-2023,84430,38662.0,3.45,normal
568,23-07-2023,87792,29656.0,4.2,normal
569,24-07-2023,73796,28840.0,5.0,normal
570,25-07-2023,73137,27490.0,4.06,normal
571,26-07-2023,74268,26817.0,4.32,normal
572,27-07-2023,63932,25862.0,4.13,normal
573,28-07-2023,69378,28371.0,3.76,Muharram
574,28-07-2023,78115,38243.0,4.19,normal
575,30-07-2023,85258,25451.0,4.28,"Tirumala Narayanagiri Chathrasthapana, Thulasi Mahathyam"
576,31-07-2023,68601,23396.0,5.21,normal
577,01-08-2023,67728,21084.0,4.24,Purnima
578,02-08-2023,69365,26006.0,3.05,normal
579,03-08-2023,59898,26936.0,4.44,normal
580,04-08-2023,69270,28755.0,3.74,normal
581,05-08-2023,81472,34820.0,3.9,normal
582,06-08-2023,83856,28403.0,4.09,normal
583,07-08-2023,69733,28614.0,4.37,normal
584,08-08-2023,73879,26144.0,4.05,normal
585,09-08-2023,75594,26213.0,4.69,Aadikruthika
586,10-08-2023,57443,28198.0,3.9,normal
587,11-08-2023,72158,30735.0,4.08,normal
588,12-08-2023,82265,41300.0,3.82,normal
589,13-08-2023,84401,37738.0,3.76,normal
590,14-08-2023,74617,32752.0,5.67,normal
591,15-08-2023,78726,26436.0,3.94,Independence Day
592,16-08-2023,75776,22700.0,4.14, Amavasya
593,17-08-2023,64695,24473.0,4.6,normal
594,18-08-2023,61904,31205.0,3.42,normal
595,19-08-2023,79242,36039.0,4.76,normal
596,20-08-2023,79444,28744.0,4.21,Naga chaturthi
597,21-08-2023,69909,29327.0,4.37,"Garuda panchami, Mangalagowri Vratham"
598,22-08-2023,72695,27060.0,4.44,normal
599,23-08-2023,71122,29121.0,3.76,normal
600,24-08-2023,67308,26674.0,3.82,normal
601,25-08-2023,69529,29227.0,3.85,"Varalakshmi Vratham, Mathursri Tarigonda Vengamamba Vardanti"
602,26-08-2023,71073,37215.0,3.67,Tirumala Srivari Pavithrotsavam
603,27-08-2023,79152,30329.0,4.02,Tirumala Srivari Pavithrotsavam
604,28-08-2023,68263,28355.0,3.65,Tirumala Srivari Pavithrotsavam
605,29-08-2023,64214,25777.0,4.05,"Tirumala Srivari Pavithrotsavam, Onam"
606,30-08-2023,71132,26963.0,4.06,"Sravana Purnima, Sri Vikhanasa Jayanthi , Raksha Bandhan"
607,31-08-2023,59808,25618.0,3.6,"Sri Hayagreeva Jayanthi, Gayathrijapam , Purnima"
608,01-09-2023,67193,28750.0,3.62,normal
609,02-09-2023,81655,38882.0,3.84,normal
610,03-09-2023,81459,32899.0,4.05,normal
611,04-09-2023,76555,33488.0,4.75,normal
612,05-09-2023,71946,30294.0,4.51,normal
613,06-09-2023,75804,32198.0,4.39,Srikrishnashtami
614,06-09-2023,58855,29014.0,4.65,normal
615,08-09-2023,68021,31047.0,3.63,normal
616,09-09-2023,78557,42083.0,3.48,normal
617,10-09-2023,84449,33570.0,4.47,normal
618,11-09-2023,66199,29351.0,4.17,normal
619,12-09-2023,70055,27724.0,5.32,normal
620,13-09-2023,75059,27411.0,3.13,normal
621,14-09-2023,61926,21237.0,4.32,Polala Amavasya
622,15-09-2023,62357,23570.0,3.37, Amavasya
623,16-09-2023,66590,31052.0,3.37,normal
624,17-09-2023,77441,29816.0,3.85,"Sri Balarama Jayanthi, Sri Varaha Jayanthi"
625,18-09-2023,62745,24451.0,3.1,Tirumala Sri Venkateswara Swamivari Brahmotsavams 
626,19-09-2023,67267,20629.0,2.58,"Tirumala Sri Venkateswara Swamivari Brahmotsavams , Vinayaka Chavithi"
627,20-09-2023,64277,24340.0,2.89,Tirumala Sri Venkateswara Swamivari Brahmotsavams
628,21-09-2023,66462,29241.0,2.77,Tirumala Sri Venkateswara Swamivari Brahmotsavams
629,22-09-2023,72650,27410.0,3.33,"Tirumala Sri Venkateswara Swamivari Brahmotsavams , Tirumala Srivari Garudaseva"
630,23-09-2023,74884,32213.0,2.7,Tirumala Sri Venkateswara Swamivari Brahmotsavams
631,24-09-2023,66598,25103.0,3.88,Tirumala Sri Venkateswara Swamivari Brahmotsavams
632,25-09-2023,72137,23735.0,3.37,Tirumala Sri Venkateswara Swamivari Brahmotsavams
633,25-09-2023,55747,21774.0,4.11,"Tirumala Sri Venkateswara Swamivari Brahmotsavams , Sri Vamana Jayanthi , Tiruchanur Sri Padmavati Ammavari Pavithrotsavam"
634,27-09-2023,66336,25857.0,2.24,Tiruchanur Sri Padmavati Ammavari Pavithrotsavam
635,28-09-2023,54620,24234.0,2.98,Tiruchanur Sri Padmavati Ammavari Pavithrotsavam
636,29-09-2023,66233,36486.0,4.71,"Tiruchanur Sri Padmavati Ammavari Pavithrotsavam , Purnima"
637,30-09-2023,87081,41575.0,4.05,Mahalaya Pakshalu
638,01-10-2023,88623,43934.0,4.67,normal
639,02-10-2023,80551,32028.0,4.27,Gandhi Jayanthi
640,03-10-2023,79365,25952.0,4.77,normal
641,04-10-2023,76526,32238.0,3.54,normal
642,05-10-2023,68558,29508.0,4.13,normal
643,06-10-2023,72104,25044.0,3.8,normal
644,07-10-2023,72309,26296.0,4.5,normal
645,08-10-2023,70515,27230.0,4.23,normal
646,09-10-2023,68828,28768.0,3.53,normal
647,10-10-2023,71361,24579.0,3.69,normal
648,11-10-2023,72230,27388.0,3.74,normal
649,12-10-2023,65937,24101.0,4.28,normal
650,13-10-2023,59304,22391.0,4.08,normal
651,14-10-2023,67785,21284.0,2.78,Mahalaya Amavasya
652,15-10-2023,60659,21304.0,2.72,"Tirumala Sri Venkateswara Swamivari Navarathri Brahmotsavams , Tiruchanur Sri Padmavati Ammavari Navaratri Utsavams"
653,16-10-2023,73859,30634.0,3.31,"Tirumala Sri Venkateswara Swamivari Navarathri Brahmotsavams , Tiruchanur Sri Padmavati Ammavari Navaratri Utsavams"
654,17-10-2023,72123,,3.01,"Tirumala Sri Venkateswara Swamivari Navarathri Brahmotsavams , Tiruchanur Sri Padmavati Ammavari Navaratri Utsavams"
655,18-10-2023,68763,28377.0,2.56,"Tirumala Sri Venkateswara Swamivari Navarathri Brahmotsavams , Tiruchanur Sri Padmavati Ammavari Navaratri Utsavams"
656,19-10-2023,66757,26395.0,3.53,"Tirumala Sri Venkateswara Swamivari Navarathri Brahmotsavams , Tiruchanur Sri Padmavati Ammavari Navaratri Utsavams , Tirumala Srivari Garudaseva"
657,20-10-2023,69821,26098.0,2.27,"Tirumala Sri Venkateswara Swamivari Navarathri Brahmotsavams , Tiruchanur Sri Padmavati Ammavari Navaratri Utsavams  , Saraswati Pooja"
658,21-10-2023,65422,33212.0,2.84,"Tirumala Sri Venkateswara Swamivari Navarathri Brahmotsavams , Tiruchanur Sri Padmavati Ammavari Navaratri Utsavams"
659,22-10-2023,77187,29209.0,3.06,"Tirumala Sri Venkateswara Swamivari Navarathri Brahmotsavams , Tiruchanur Sri Padmavati Ammavari Navaratri Utsavams ,  Durgashtami"
660,23-10-2023,79693,21864.0,2.38,"Tirumala Sri Venkateswara Swamivari Navarathri Brahmotsavams , Tiruchanur Sri Padmavati Ammavari Navaratri Utsavams "
661,24-10-2023,71037,20563.0,2.66, Vijayadasami
662,25-10-2023,65422,23778.0,3.3,normal
663,26-10-2023,62055,27088.0,3.58,normal
664,27-10-2023,63404,26659.0,3.42,normal
665,28-10-2023,47351,23836.0,3.03,Purnima
666,29-10-2023,85497,24873.0,2.41,normal
667,30-10-2023,69654,23978.0,3.34,normal
668,31-10-2023,62269,19255.0,5.19,Atla Tadde
669,01-11-2023,63710,21205.0,3.13,Karva Chauth
670,02-11-2023,59335,23271.0,3.29,normal
671,03-11-2023,66048,24666.0,3.25,normal
672,04-11-2023,70250,34014.0,3.14,normal
673,05-11-2023,78389,23466.0,3.87,normal
674,06-11-2023,66312,22002.0,4.7,normal
675,07-11-2023,61640,19064.0,3.19,normal
676,08-11-2023,58157,24054.0,4.55,normal
677,09-11-2023,56723,21778.0,3.37,normal
678,10-11-2023,56978,19617.0,4.87,Tiruchanur Sri Padmavati Ammavari Brahmotsavams
679,11-11-2023,71490,24993.0,3.87,Tiruchanur Sri Padmavati Ammavari Brahmotsavams
680,12-11-2023,74807,21974.0,3.58,"Tiruchanur Sri Padmavati Ammavari Brahmotsavams , Naraka chaturdashi, Deepavali"
