Piligrims,Tonsures,Hundi,Tirupati,Tirumala,VIP darshan,tirumala darshan,srinivasam complex,tirumala darshan tickets,tirupati balaji.ap.gov.in,condition,temperature,Timestamp,weekday,festival_count,festival_impact,holidays,Special Day Weighted,Piligrims_7Day_Avg,Festival intensity
75872,37236,3.64,77,43,85,46,0,54,0,962,88.16,1718562600.0,0,2,74030.26222627738,1,1.0336141322534529,72663.14285714286,72663.14285714286
75125,31140,5.41,82,50,87,54,0,66,0,1308,86.72,1718649000.0,0,2,74030.26222627738,1,1.0336141322534529,72443.14285714286,72443.14285714286
79584,31848,4.18,73,43,0,41,0,33,0,1275,84.56,1718735400.0,0,3,70567.46222627738,1,1.0336141322534529,73088.28571428571,73088.28571428571
62756,31510,4.23,74,50,0,40,0,50,0,1308,85.64,1718821800.0,0,3,70567.46222627738,1,1.0336141322534529,73267.85714285714,73267.85714285714
72294,31855,3.39,80,54,0,51,0,33,0,1621,85.64,1718908200.0,0,4,71466.66222627737,1,1.0336141322534529,74055.28571428571,74055.28571428571
74467,40005,3.77,86,56,0,43,0,28,0,1308,84.74000000000001,1718994600.0,1,1,74756.26222627738,1,1.0336141322534529,72852.57142857143,72852.57142857143
81455,31251,3.67,83,52,0,47,0,52,0,962,86.72,1719081000.0,1,1,74756.26222627738,1,1.0336141322534529,74507.57142857143,74507.57142857143
77878,30140,4.46,100,100,0,100,0,100,0,839,86.36,1719167400.0,0,1,74756.26222627738,1,1.0336141322534529,74794.14285714286,74794.14285714286
71824,28462,4.01,76,45,0,42,0,44,0,1275,84.92,1719253800.0,0,1,74756.26222627738,1,1.0336141322534529,74322.57142857143,74322.57142857143
77332,30540,4.38,72,40,0,30,0,29,0,962,86.0,1719340200.0,0,1,68156.49102312156,1,1.0336141322534529,74000.85714285714,74000.85714285714
60782,30100,3.53,67,42,0,32,0,0,0,839,81.86,1719426600.0,0,1,74032.9733373885,1,1.0336141322534529,73718.85714285714,73718.85714285714
66256,30087,3.54,81,39,0,34,0,38,0,1308,87.80000000000001,1719513000.0,0,1,74032.9733373885,1,1.0336141322534529,72856.28571428571,72856.28571428571
80404,35825,3.83,76,45,0,30,0,0,0,1621,87.98,1719599400.0,1,1,74032.9733373885,1,1.0336141322534529,73704.42857142857,73704.42857142857
81005,28244,3.94,69,43,0,27,0,0,0,1308,84.56,1719685800.0,1,1,68156.49102312156,1,1.0336141322534529,73640.14285714286,73640.14285714286
